Caractères,Nombre de mots
1,21
2,111
3,846
4,9199
5,27274
6,73550
7,68209
8,93462
9,49669
10,36323
11,8224
12,4736
13,2251
14,1215
15,691
16,27
17,20
18,6
19,4
20,5
21,2
25,1
34,1
36,1
46,1
71,1
90,1
102,1
110,1
,
Caractères,Pourcentage de mots
1,5.587290775915052e-05
2,0.00029532822672693847
3,0.0022508799982972065
4,0.024474994213163126
5,0.07256560410586053
6,0.1956882078897867
7,0.18147786501637608
8,0.24866636690408217
9,0.13215006930901177
10,0.09664150612074401
11,0.02188089492434542
12,0.012600671007016041
13,0.005989043588849896
14,0.003232646806065137
15,0.001838484726741572
16,7.183659569033638e-05
17,5.321229310395288e-05
18,1.5963687931185862e-05
19,1.0642458620790574e-05
20,1.330307327598822e-05
21,5.321229310395287e-06
25,2.6606146551976436e-06
34,2.6606146551976436e-06
36,2.6606146551976436e-06
46,2.6606146551976436e-06
71,2.6606146551976436e-06
90,2.6606146551976436e-06
102,2.6606146551976436e-06
110,2.6606146551976436e-06
